arquivo,predicao_idx,etnia_predita,confianca
100_0_0_20170112213500903.jpg.chip.jpg,3,Latino_Hispanic,0.3880736231803894
100_0_0_20170112215240346.jpg.chip.jpg,6,White,0.9999933242797852
100_1_0_20170110183726390.jpg.chip.jpg,6,White,1.0
100_1_0_20170112213001988.jpg.chip.jpg,6,White,0.935072124004364
100_1_0_20170112213303693.jpg.chip.jpg,6,White,1.0
100_1_0_20170112215032192.jpg.chip.jpg,6,White,0.9999388456344604
100_1_0_20170117195420803.jpg.chip.jpg,6,White,0.9986862540245056
100_1_0_20170119212053665.jpg.chip.jpg,6,White,1.0
100_1_2_20170105174847679.jpg.chip.jpg,5,Southeast Asian,1.0
100_1_2_20170112213615815.jpg.chip.jpg,1,East Asian,0.4612833857536316
100_1_2_20170112222336458.jpg.chip.jpg,5,Southeast Asian,0.34781408309936523
101_0_0_20170112213500903.jpg.chip.jpg,6,White,1.0
101_1_2_20170105174739309.jpg.chip.jpg,6,White,0.9994300007820129
103_0_2_20170112213001988.jpg.chip.jpg,5,Southeast Asian,1.0
105_0_0_20170112213001988.jpg.chip.jpg,6,White,1.0
105_1_0_20170112213001988.jpg.chip.jpg,1,East Asian,0.3783932626247406
105_1_0_20170112213021902.jpg.chip.jpg,6,White,0.9972776770591736
105_1_0_20170112213507183.jpg.chip.jpg,5,Southeast Asian,0.8062806725502014
105_1_1_20170112213303693.jpg.chip.jpg,0,Black,0.7994759678840637
10_0_0_20161220222308131.jpg.chip.jpg,6,White,0.713206946849823
10_0_0_20170103200329407.jpg.chip.jpg,6,White,0.9999998807907104
10_0_0_20170103200522151.jpg.chip.jpg,6,White,1.0
10_0_0_20170103233459275.jpg.chip.jpg,6,White,0.9998158812522888
10_0_0_20170104013211746.jpg.chip.jpg,6,White,0.9999991655349731
10_0_0_20170110215927291.jpg.chip.jpg,6,White,1.0
10_0_0_20170110220033115.jpg.chip.jpg,6,White,0.9999977350234985
10_0_0_20170110220111082.jpg.chip.jpg,6,White,0.9999998807907104
10_0_0_20170110220235233.jpg.chip.jpg,1,East Asian,0.403068870306015
10_0_0_20170110220251986.jpg.chip.jpg,6,White,1.0
10_0_0_20170110220255346.jpg.chip.jpg,6,White,1.0
10_0_0_20170110220316298.jpg.chip.jpg,3,Latino_Hispanic,0.6802412867546082
10_0_0_20170110220403810.jpg.chip.jpg,6,White,1.0
10_0_0_20170110220447314.jpg.chip.jpg,6,White,1.0
10_0_0_20170110220503946.jpg.chip.jpg,6,White,1.0
10_0_0_20170110220514186.jpg.chip.jpg,6,White,0.9999921321868896
10_0_0_20170110220530650.jpg.chip.jpg,6,White,1.0
10_0_0_20170110220539329.jpg.chip.jpg,3,Latino_Hispanic,0.544838547706604
10_0_0_20170110220541850.jpg.chip.jpg,6,White,1.0
10_0_0_20170110220546177.jpg.chip.jpg,6,White,1.0
10_0_0_20170110220548521.jpg.chip.jpg,3,Latino_Hispanic,0.9882686138153076
10_0_0_20170110220557169.jpg.chip.jpg,6,White,0.89226233959198
10_0_0_20170110220644705.jpg.chip.jpg,3,Latino_Hispanic,0.5362960696220398
10_0_0_20170110220654150.jpg.chip.jpg,6,White,0.9993652701377869
10_0_0_20170110221714752.jpg.chip.jpg,6,White,0.9997401833534241
10_0_0_20170110221719390.jpg.chip.jpg,6,White,1.0
10_0_0_20170110221811823.jpg.chip.jpg,6,White,1.0
10_0_0_20170110224223937.jpg.chip.jpg,6,White,0.992901623249054
10_0_0_20170110224238891.jpg.chip.jpg,1,East Asian,1.0
10_0_0_20170110224253445.jpg.chip.jpg,6,White,1.0
10_0_0_20170110224255796.jpg.chip.jpg,6,White,1.0
10_0_0_20170110224402264.jpg.chip.jpg,6,White,1.0
10_0_0_20170110224406532.jpg.chip.jpg,6,White,0.8528162837028503
